temperature,threshold,sensitivity,specificity,accuracy,meets_sensitivity_target,objective
0.8,0.3,1.0,0.7692,0.875,True,0.7692
0.8,0.4,1.0,0.9231,0.9583,True,0.9231
0.8,0.45,1.0,1.0,1.0,True,1.0
0.8,0.5,1.0,1.0,1.0,True,1.0
0.8,0.6,0.7273,1.0,0.875,True,1.0
1.0,0.3,1.0,0.6154,0.7917,True,0.6154
1.0,0.4,1.0,0.8462,0.9167,True,0.8462
1.0,0.45,1.0,1.0,1.0,True,1.0
1.0,0.5,1.0,1.0,1.0,True,1.0
1.0,0.6,0.7273,1.0,0.875,True,1.0
1.2,0.3,1.0,0.6154,0.7917,True,0.6154
1.2,0.4,1.0,0.8462,0.9167,True,0.8462
1.2,0.45,1.0,1.0,1.0,True,1.0
1.2,0.5,1.0,1.0,1.0,True,1.0
1.2,0.6,0.6364,1.0,0.8333,False,
1.5,0.3,1.0,0.4615,0.7083,True,0.4615
1.5,0.4,1.0,0.7692,0.875,True,0.7692
1.5,0.45,1.0,0.9231,0.9583,True,0.9231
1.5,0.5,1.0,1.0,1.0,True,1.0
1.5,0.6,0.5455,1.0,0.7917,False,
2.0,0.3,1.0,0.3077,0.625,True,0.3077
2.0,0.4,1.0,0.6154,0.7917,True,0.6154
2.0,0.45,1.0,0.8462,0.9167,True,0.8462
2.0,0.5,1.0,1.0,1.0,True,1.0
2.0,0.6,0.3636,1.0,0.7083,False,
